1/12/23, 2:29 AM | Feed Money    | $10 | $10
1/12/23, 2:29 AM | Feed Money    | $5 | $15
1/12/23, 2:29 AM | Feed Money    | $3 | $3.00
1/12/23, 2:29 AM | Return Change | $3.00 | $0.00
1/12/23, 2:30 AM | Feed Money    | $10 | $10
1/12/23, 2:30 AM | Feed Money    | $5 | $15
1/12/23, 2:30 AM | Feed Money    | $3 | $3.00
1/12/23, 2:30 AM | Return Change | $3.00 | $0.00
1/12/23, 2:30 AM | Feed Money    | $10 | $10
1/12/23, 2:30 AM | Feed Money    | $5 | $15
1/12/23, 2:30 AM | Feed Money    | $3 | $3.00
1/12/23, 2:30 AM | Return Change | $3.00 | $0.00
1/12/23, 2:30 AM | Feed Money    | $15 | $15.00
1/12/23, 2:30 AM | Feed Money    | $10 | $10
1/12/23, 2:30 AM | Feed Money    | $5 | $15
1/12/23, 2:30 AM | Feed Money    | $3 | $3.00
1/12/23, 2:30 AM | Return Change | $3.00 | $0.00
1/12/23, 2:30 AM | Feed Money    | $15 | $15.00
1/12/23, 2:31 AM | Feed Money    | $10 | $10
1/12/23, 2:31 AM | Feed Money    | $5 | $15
1/12/23, 2:31 AM | Feed Money    | $3 | $3.00
1/12/23, 2:31 AM | Return Change | $3.00 | $0.00
1/12/23, 2:31 AM | Feed Money    | $15 | $15.00
1/12/23, 12:19 PM | Purchase Item | $3.05 | $-3.05
1/12/23, 12:19 PM | Purchase Item | $3.05 | $-6.10
1/12/23, 12:19 PM | Purchase Item | $3.05 | $-9.15
1/12/23, 12:19 PM | Purchase Item | $3.05 | $-12.20
1/12/23, 12:19 PM | Purchase Item | $3.05 | $-15.25
1/12/23, 12:45 PM | Feed Money    | $1 | $1
1/12/23, 12:45 PM | Return Change | $1 | $0.00
1/12/23, 12:52 PM | testing | $10 | $5
